Model:GBQ L-05SLA, Latitude:31.823635,Longtitude:117.118226,SeaHeight:128,NorthAngle:0,LightBeamNum:-9999,Gate:100,SumShots:20000,PulseWidth:300,CNR:2,RangeResolution:30,ScanMode:PPI,From:0,To:350,Step:10,FixAngle:2,StartRange:15
Date_time,Temperature,Humidity,Pressure,Azimuth,Pitch,Distance,HWindSpeed(m/s),HWindDirection(бу),VWindSpeed (m/s)
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3615,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3645,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3675,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3705,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3735,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3765,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3795,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3825,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3855,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3885,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3915,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3945,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,3975,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4005,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4035,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4065,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4095,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4125,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4155,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4185,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4215,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4245,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4275,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4305,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4335,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4365,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4395,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4425,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4455,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4485,-9999,-9999,-9999
